StockCode,StockName_KR,MarketCap,ClosingPrice,DailyVolume,VolumeSpike,TrendArrow,MA20,MA60,RSI(14),MACD,MACD_Signal,Volatility(ATR),OBV,PearlScore,PearlScore_Normalized,PearlScore_Stars,PearlScore_Status
402340,SK스퀘어,,1096000.0,863823,0.81,↓,1354800.0,1310783.33,34.3,-82470.01,-47458.16,152642.86,37158456,0.49,24.5,★★☆☆☆,OK
005935,삼성전자우,,179800.0,2097440,0.53,↓,190435.0,195753.33,37.37,-6335.38,-5366.53,15864.29,254637667,0.36,18.0,★☆☆☆☆,OK
000660,SK하이닉스,,1816000.0,3832589,0.65,↓,2102100.0,2095283.33,34.1,-133502.98,-92607.71,204000.0,268446008,0.4,20.0,★☆☆☆☆,OK
009150,삼성전기,,1325000.0,470650,0.5,↓,1582100.0,1541550.0,31.58,-124099.37,-97408.56,172500.0,85129066,0.28,14.0,★☆☆☆☆,OK
207940,삼성바이오로직스,,1545000.0,98860,1.65,↑,1403650.0,1390016.67,62.82,21692.07,6333.82,74714.29,20821409,1.87,93.5,★★★★★,OK
373220,LG에너지솔루션,,333000.0,126791,0.34,↑,337700.0,391408.33,42.66,-14158.63,-17441.85,19857.14,6054920,0.33,16.5,★☆☆☆☆,OK
005930,삼성전자,,254000.0,22701316,0.81,↓,280525.0,295933.33,33.16,-15642.33,-13133.6,22607.14,915644221,0.49,24.5,★★☆☆☆,OK
005380,현대차,,403000.0,546634,0.59,↓,449000.0,565441.67,26.65,-41353.3,-42517.98,29160.71,108236938,0.35,17.5,★☆☆☆☆,OK
032830,삼성생명,,311500.0,194030,0.41,↓,346950.0,359725.0,30.29,-19913.54,-16575.65,26267.86,31447057,0.23,11.5,★☆☆☆☆,OK
329180,HD현대중공업,,486500.0,128891,0.42,↑,518600.0,614800.0,29.34,-37953.01,-40084.85,32821.43,10628909,0.28,14.0,★☆☆☆☆,OK
028260,삼성물산,,339500.0,273529,0.44,↓,386850.0,415425.0,27.73,-26978.63,-22760.69,30678.57,60556125,0.22,11.0,★☆☆☆☆,OK
105560,KB금융,,172600.0,784284,0.5,↓,172220.0,162213.33,51.58,3616.1,4463.7,9364.29,117328112,0.64,32.0,★★☆☆☆,OK
000270,기아,,130400.0,1047865,0.97,↓,145035.0,155191.67,31.46,-4161.63,-3179.2,9421.43,302688945,0.57,28.5,★★☆☆☆,OK
012450,한화에어로스페이스,,899000.0,173275,0.76,↓,991000.0,1129400.0,30.12,-53714.82,-54798.99,85000.0,155225057,0.5,25.0,★★☆☆☆,OK
034020,두산에너빌리티,,70900.0,1484901,0.54,↑,76585.0,96813.33,33.92,-6336.87,-6866.59,5335.71,1691985395,0.41,20.5,★☆☆☆☆,OK
055550,신한지주,,105000.0,694952,0.49,↑,104520.0,99975.0,44.35,1292.97,1704.22,5535.71,89859537,0.58,29.0,★★☆☆☆,OK
034730,SK,,623000.0,155413,0.56,↓,647600.0,621141.67,44.66,-11735.31,-9789.66,52642.86,17527009,0.55,27.5,★★☆☆☆,OK
012330,현대모비스,,463500.0,299260,0.8,↓,489650.0,555983.33,39.6,-18550.65,-21906.4,36000.0,-639946,0.71,35.5,★★☆☆☆,OK
